x,y,z
32,21,30
1,22,30
2,22,30
3,22,31
4,22,30
5,22,31
6,22,30
7,22,30
8,22,30
9,22,30
10,22,30
11,22,30
12,22,30
13,22,31
14,22,30
15,22,32
16,22,30
17,22,32
18,22,30
19,22,32
20,22,30
21,22,32
22,22,30
23,22,31
24,22,30
25,22,32
26,22,30
27,22,31
28,22,30
29,22,32
30,22,30
31,22,32
32,22,30
1,23,38
2,23,33
3,23,30
4,23,31
5,23,30
6,23,31
7,23,30
8,23,30
9,23,30
10,23,31
11,23,30
12,23,31
13,23,30
14,23,32
15,23,30
16,23,32
17,23,30
18,23,32
19,23,30
20,23,32
21,23,30
22,23,32
23,23,30
24,23,31
25,23,30
26,23,30
27,23,30
28,23,32
29,23,30
30,23,30
31,23,30
32,23,32
1,24,34
2,24,30
3,24,33
4,24,30
5,24,31
6,24,30
7,24,31
8,24,30
9,24,31
10,24,30
11,24,30
12,24,30
13,24,31
14,24,30
15,24,32
16,24,30
17,24,32
18,24,30
19,24,32
20,24,30
21,24,32
22,24,30
23,24,32
24,24,30
25,24,32
26,24,30
27,24,31
28,24,30
29,24,30
30,24,30
31,24,30
32,24,30
